,0,1,ticker
0,Market Cap (intraday),38.28M,AJL.AX
1,Enterprise Value,140.53M,AJL.AX
2,Trailing P/E,11.43,AJL.AX
3,Forward P/E,,AJL.AX
4,PEG Ratio (5 yr expected),,AJL.AX
5,Price/Sales (ttm),0.34,AJL.AX
6,Price/Book (mrq),0.41,AJL.AX
7,Enterprise Value/Revenue,1.27,AJL.AX
8,Enterprise Value/EBITDA,6.83,AJL.AX
