Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,19712,13231,-11989,WC1.AX
totalCashflowsFromInvestingActivities,-95429,-13343,-28295,WC1.AX
netBorrowings,70000,70000,70000,WC1.AX
totalCashFromFinancingActivities,420015,420015,420015,WC1.AX
issuanceOfStock,350015,350015,350015,WC1.AX
netIncome,-504153,32897,49227,WC1.AX
changeInCash,302316,39591,8109,WC1.AX
totalCashFromOperatingActivities,-22268,52934,36404,WC1.AX
depreciation,7204,1983,1983,WC1.AX
otherCashflowsFromInvestingActivities,-40000,-10000,-10000,WC1.AX
changeToAccountReceivables,-3881,4823,-834,WC1.AX
changeToNetincome,458850,458850,458850,WC1.AX
capitalExpenditures,-55429,-3343,-1795,WC1.AX
