Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,419911.0,-2899848.0,-652376.0,T3K.AX
totalCashflowsFromInvestingActivities,-694269.0,-805967.0,-67455.0,T3K.AX
netBorrowings,-711813.0,-2101805.0,-2704814.0,T3K.AX
totalCashFromFinancingActivities,-1229005.0,-968437.0,-3279559.0,T3K.AX
changeToOperatingActivities,-419030.0,-243136.0,45476.0,T3K.AX
netIncome,-20348.0,-3923820.0,2120933.0,T3K.AX
changeInCash,-1018467.0,823702.0,213539.0,T3K.AX
totalCashFromOperatingActivities,904807.0,2598106.0,3560553.0,T3K.AX
depreciation,1887752.0,1943093.0,1158056.0,T3K.AX
changeToAccountReceivables,-322598.0,377493.0,-181690.0,T3K.AX
otherCashflowsFromFinancingActivities,-517192.0,-786632.0,-574745.0,T3K.AX
changeToNetincome,36403.0,7684886.0,575743.0,T3K.AX
capitalExpenditures,-532527.0,-780402.0,-67455.0,T3K.AX
issuanceOfStock,,1920000.0,1920000.0,T3K.AX
