Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
intangibleAssets,223177.0,61435.0,99081.0,T3K.AX
totalLiab,12651580.0,12219872.0,13826631.0,T3K.AX
totalStockholderEquity,3820106.0,3612704.0,5325596.0,T3K.AX
otherCurrentLiab,860545.0,1104408.0,2695375.0,T3K.AX
totalAssets,16471686.0,15832576.0,19152227.0,T3K.AX
commonStock,3210228.0,3210228.0,1458000.0,T3K.AX
otherCurrentAssets,155719.0,133738.0,133738.0,T3K.AX
retainedEarnings,-76572.0,-56224.0,3867596.0,T3K.AX
otherLiab,297314.0,32522.0,588594.0,T3K.AX
treasuryStock,686450.0,458700.0,,T3K.AX
otherAssets,1373237.0,1073405.0,,T3K.AX
cash,21999.0,1040466.0,216763.0,T3K.AX
totalCurrentLiabilities,6584158.0,5065705.0,12950719.0,T3K.AX
deferredLongTermAssetCharges,1373237.0,1073405.0,,T3K.AX
shortLongTermDebt,1836939.0,1317142.0,6917703.0,T3K.AX
otherStockholderEquity,686450.0,458700.0,,T3K.AX
propertyPlantEquipment,9166247.0,9453196.0,14635108.0,T3K.AX
totalCurrentAssets,5709025.0,5244540.0,4418038.0,T3K.AX
netTangibleAssets,3596929.0,3551269.0,5226515.0,T3K.AX
netReceivables,4634211.0,3678704.0,4056197.0,T3K.AX
longTermDebt,5125400.0,6156135.0,287318.0,T3K.AX
inventory,149168.0,,,T3K.AX
accountsPayable,1637080.0,1420308.0,1431771.0,T3K.AX
