Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,TI1.AX
effectOfAccountingCharges,,,,TI1.AX
incomeBeforeTax,-8982674,-20096,-1235497,TI1.AX
minorityInterest,,,,TI1.AX
netIncome,-8625371,-20096,-5387370,TI1.AX
sellingGeneralAdministrative,4089781,19602,401237,TI1.AX
grossProfit,41565,0,-343221,TI1.AX
ebit,-4665903,-19602,-816167,TI1.AX
operatingIncome,-4665903,-19602,-816167,TI1.AX
otherOperatingExpenses,383013,383013,383013,TI1.AX
interestExpense,-30769,-494,-250054,TI1.AX
extraordinaryItems,,,,TI1.AX
nonRecurring,,,,TI1.AX
otherItems,,,,TI1.AX
incomeTaxExpense,0,0,0,TI1.AX
totalRevenue,41565,0,0,TI1.AX
totalOperatingExpenses,4707468,19602,816167,TI1.AX
costOfRevenue,0,0,343221,TI1.AX
totalOtherIncomeExpenseNet,-4316771,-494,-419330,TI1.AX
discontinuedOperations,357303,357303,-4151873,TI1.AX
netIncomeFromContinuingOps,-8982674,-20096,-1235497,TI1.AX
netIncomeApplicableToCommonShares,-8625371,-20096,-5387370,TI1.AX
