Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,COD.AX
effectOfAccountingCharges,,,,COD.AX
incomeBeforeTax,-6523291,-3937764,-1998827,COD.AX
minorityInterest,,,,COD.AX
netIncome,-6523291,-3937764,-1998827,COD.AX
sellingGeneralAdministrative,2135524,1297800,16166,COD.AX
grossProfit,0,0,0,COD.AX
ebit,-6249451,-3062672,-1998778,COD.AX
operatingIncome,-6249451,-3062672,-1998778,COD.AX
otherOperatingExpenses,122134,114603,9975,COD.AX
interestExpense,-8222,-10508,-50,COD.AX
extraordinaryItems,,,,COD.AX
nonRecurring,,,,COD.AX
otherItems,,,,COD.AX
incomeTaxExpense,0,0,0,COD.AX
totalRevenue,0,0,0,COD.AX
totalOperatingExpenses,6249451,3062672,1998778,COD.AX
costOfRevenue,0,0,0,COD.AX
totalOtherIncomeExpenseNet,-273840,-875092,-50,COD.AX
discontinuedOperations,,,,COD.AX
netIncomeFromContinuingOps,-6523291,-3937764,-1998827,COD.AX
netIncomeApplicableToCommonShares,-6523291,-3937764,-1998827,COD.AX
