Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,ALB.AX
effectOfAccountingCharges,,,,ALB.AX
incomeBeforeTax,-445203,-53155,-26643,ALB.AX
minorityInterest,,,,ALB.AX
netIncome,-445203,-53155,-26643,ALB.AX
sellingGeneralAdministrative,99884,318,494,ALB.AX
grossProfit,0,0,0,ALB.AX
ebit,-348124,-49868,-23336,ALB.AX
operatingIncome,-348124,-49868,-23336,ALB.AX
otherOperatingExpenses,,,,ALB.AX
interestExpense,,,,ALB.AX
extraordinaryItems,,,,ALB.AX
nonRecurring,,,,ALB.AX
otherItems,,,,ALB.AX
incomeTaxExpense,0,0,0,ALB.AX
totalRevenue,0,0,0,ALB.AX
totalOperatingExpenses,348124,49868,23336,ALB.AX
costOfRevenue,0,0,0,ALB.AX
totalOtherIncomeExpenseNet,-97079,-3287,-3307,ALB.AX
discontinuedOperations,,,,ALB.AX
netIncomeFromContinuingOps,-445203,-53155,-26643,ALB.AX
netIncomeApplicableToCommonShares,-445203,-53155,-26643,ALB.AX
