Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,-120000.0,239143.0,BGD.AX
totalCashflowsFromInvestingActivities,243000.0,-895714.0,BGD.AX
netBorrowings,2435000.0,2435000.0,BGD.AX
totalCashFromFinancingActivities,18134000.0,4063715.0,BGD.AX
changeToOperatingActivities,-100000.0,-100000.0,BGD.AX
issuanceOfStock,15699000.0,4063715.0,BGD.AX
netIncome,-7733000.0,-2326286.0,BGD.AX
changeInCash,13118000.0,1519715.0,BGD.AX
totalCashFromOperatingActivities,-5259000.0,-1648286.0,BGD.AX
depreciation,115000.0,27429.0,BGD.AX
changeToAccountReceivables,36000.0,-70286.0,BGD.AX
changeToNetincome,2543000.0,481714.0,BGD.AX
capitalExpenditures,,-968572.0,BGD.AX
