Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,BGD.AX
effectOfAccountingCharges,,,BGD.AX
incomeBeforeTax,-7730000,-2326286,BGD.AX
minorityInterest,,,BGD.AX
netIncome,-7733000,-2326286,BGD.AX
sellingGeneralAdministrative,3600000,305143,BGD.AX
grossProfit,-166000,-311143,BGD.AX
ebit,-6984000,-2185715,BGD.AX
operatingIncome,-6984000,-2185715,BGD.AX
otherOperatingExpenses,,,BGD.AX
interestExpense,-758000,-176571,BGD.AX
extraordinaryItems,,,BGD.AX
nonRecurring,,,BGD.AX
otherItems,,,BGD.AX
incomeTaxExpense,3000,0,BGD.AX
totalRevenue,0,0,BGD.AX
totalOperatingExpenses,6984000,2185715,BGD.AX
costOfRevenue,166000,311143,BGD.AX
totalOtherIncomeExpenseNet,-746000,-140571,BGD.AX
discontinuedOperations,,,BGD.AX
netIncomeFromContinuingOps,-7733000,-2326286,BGD.AX
netIncomeApplicableToCommonShares,-7733000,-2326286,BGD.AX
