,0,1,ticker
0,Market Cap (intraday),103.29M,SDV.AX
1,Enterprise Value,101.41M,SDV.AX
2,Trailing P/E,24.66,SDV.AX
3,Forward P/E,136.99,SDV.AX
4,PEG Ratio (5 yr expected),,SDV.AX
5,Price/Sales (ttm),2.00,SDV.AX
6,Price/Book (mrq),3.27,SDV.AX
7,Enterprise Value/Revenue,2.38,SDV.AX
8,Enterprise Value/EBITDA,55.26,SDV.AX
