Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,ticker
totalLiab,2442851.0,1814097.0,HPC.AX
totalStockholderEquity,2002850.0,2385772.0,HPC.AX
otherCurrentLiab,86366.0,,HPC.AX
totalAssets,4445701.0,4199869.0,HPC.AX
commonStock,16494829.0,16494829.0,HPC.AX
retainedEarnings,-15416956.0,-14673293.0,HPC.AX
otherLiab,18409.0,58594.0,HPC.AX
treasuryStock,924977.0,564236.0,HPC.AX
cash,1644583.0,2736056.0,HPC.AX
totalCurrentLiabilities,2424442.0,1755503.0,HPC.AX
otherStockholderEquity,924977.0,564236.0,HPC.AX
propertyPlantEquipment,3337.0,8750.0,HPC.AX
totalCurrentAssets,4442364.0,4191119.0,HPC.AX
netTangibleAssets,2002850.0,2385772.0,HPC.AX
netReceivables,787477.0,595511.0,HPC.AX
inventory,1590026.0,780055.0,HPC.AX
accountsPayable,1177083.0,376803.0,HPC.AX
