Breakdown,2020-12-31 00:00:00,ticker
totalLiab,255271,ALV.AX
totalStockholderEquity,320881,ALV.AX
otherCurrentLiab,6509,ALV.AX
totalAssets,576152,ALV.AX
commonStock,824901,ALV.AX
retainedEarnings,-385802,ALV.AX
treasuryStock,-118218,ALV.AX
cash,99272,ALV.AX
totalCurrentLiabilities,255271,ALV.AX
otherStockholderEquity,-118218,ALV.AX
propertyPlantEquipment,401154,ALV.AX
totalCurrentAssets,174998,ALV.AX
netTangibleAssets,320881,ALV.AX
shortTermInvestments,75077,ALV.AX
accountsPayable,173685,ALV.AX
