Breakdown,2020-12-31 00:00:00,ticker
researchDevelopment,,ALV.AX
effectOfAccountingCharges,,ALV.AX
incomeBeforeTax,-356125,ALV.AX
minorityInterest,,ALV.AX
netIncome,-356125,ALV.AX
sellingGeneralAdministrative,357691,ALV.AX
grossProfit,1566,ALV.AX
ebit,-356125,ALV.AX
operatingIncome,-356125,ALV.AX
otherOperatingExpenses,,ALV.AX
interestExpense,,ALV.AX
extraordinaryItems,,ALV.AX
nonRecurring,,ALV.AX
otherItems,,ALV.AX
incomeTaxExpense,0,ALV.AX
totalRevenue,1566,ALV.AX
totalOperatingExpenses,357691,ALV.AX
costOfRevenue,0,ALV.AX
totalOtherIncomeExpenseNet,0,ALV.AX
discontinuedOperations,,ALV.AX
netIncomeFromContinuingOps,-356125,ALV.AX
netIncomeApplicableToCommonShares,-356125,ALV.AX
