Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,AR3.AX
effectOfAccountingCharges,,,AR3.AX
incomeBeforeTax,-586764,-4526,AR3.AX
minorityInterest,,,AR3.AX
netIncome,-586764,-4526,AR3.AX
sellingGeneralAdministrative,79177,1112,AR3.AX
grossProfit,0,0,AR3.AX
ebit,-590764,-20526,AR3.AX
operatingIncome,-590764,-20526,AR3.AX
otherOperatingExpenses,266115,864,AR3.AX
interestExpense,,,AR3.AX
extraordinaryItems,,,AR3.AX
nonRecurring,,,AR3.AX
otherItems,,,AR3.AX
incomeTaxExpense,0,0,AR3.AX
totalRevenue,0,0,AR3.AX
totalOperatingExpenses,590764,20526,AR3.AX
costOfRevenue,0,0,AR3.AX
totalOtherIncomeExpenseNet,4000,16000,AR3.AX
discontinuedOperations,,,AR3.AX
netIncomeFromContinuingOps,-586764,-4526,AR3.AX
netIncomeApplicableToCommonShares,-586764,-4526,AR3.AX
