Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,248010,0,AR3.AX
totalCashflowsFromInvestingActivities,-893640,-9048,AR3.AX
netBorrowings,4000,16000,AR3.AX
totalCashFromFinancingActivities,13184525,16003,AR3.AX
issuanceOfStock,13300000,3,AR3.AX
netIncome,-586764,-4526,AR3.AX
changeInCash,12075982,4298,AR3.AX
totalCashFromOperatingActivities,-214903,-2657,AR3.AX
otherCashflowsFromInvestingActivities,-10000,-10000,AR3.AX
changeToAccountReceivables,-117621,-681,AR3.AX
otherCashflowsFromFinancingActivities,-119475,-119475,AR3.AX
changeToNetincome,241472,2550,AR3.AX
capitalExpenditures,-883640,-9048,AR3.AX
