Breakdown,2021-06-30 00:00:00,ticker
changeToLiabilities,150708,AW1.AX
netBorrowings,94287,AW1.AX
totalCashFromFinancingActivities,4883658,AW1.AX
changeToOperatingActivities,-42050,AW1.AX
issuanceOfStock,4791429,AW1.AX
netIncome,-3117323,AW1.AX
changeInCash,1875883,AW1.AX
effectOfExchangeRate,-6363,AW1.AX
totalCashFromOperatingActivities,-3001411,AW1.AX
changeToAccountReceivables,-20520,AW1.AX
otherCashflowsFromFinancingActivities,-2059,AW1.AX
changeToNetincome,27773,AW1.AX
