Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,AW1.AX
effectOfAccountingCharges,,AW1.AX
incomeBeforeTax,-3117323,AW1.AX
minorityInterest,,AW1.AX
netIncome,-3117323,AW1.AX
sellingGeneralAdministrative,116141,AW1.AX
grossProfit,0,AW1.AX
ebit,-3115264,AW1.AX
operatingIncome,-3115264,AW1.AX
otherOperatingExpenses,,AW1.AX
interestExpense,-2059,AW1.AX
extraordinaryItems,,AW1.AX
nonRecurring,,AW1.AX
otherItems,,AW1.AX
incomeTaxExpense,0,AW1.AX
totalRevenue,0,AW1.AX
totalOperatingExpenses,3115264,AW1.AX
costOfRevenue,0,AW1.AX
totalOtherIncomeExpenseNet,-2059,AW1.AX
discontinuedOperations,,AW1.AX
netIncomeFromContinuingOps,-3117323,AW1.AX
netIncomeApplicableToCommonShares,-3117323,AW1.AX
