,0,1,ticker
0,Market Cap (intraday),29.61M,TYM.AX
1,Enterprise Value,24.53M,TYM.AX
2,Trailing P/E,,TYM.AX
3,Forward P/E,,TYM.AX
4,PEG Ratio (5 yr expected),,TYM.AX
5,Price/Sales (ttm),,TYM.AX
6,Price/Book (mrq),6.47,TYM.AX
7,Enterprise Value/Revenue,127.22,TYM.AX
8,Enterprise Value/EBITDA,-7.25,TYM.AX
