,0,1,ticker
0,Market Cap (intraday),855.80M,IDX.AX
1,Enterprise Value,1.10B,IDX.AX
2,Trailing P/E,27.05,IDX.AX
3,Forward P/E,25.58,IDX.AX
4,PEG Ratio (5 yr expected),,IDX.AX
5,Price/Sales (ttm),2.42,IDX.AX
6,Price/Book (mrq),3.36,IDX.AX
7,Enterprise Value/Revenue,3.16,IDX.AX
8,Enterprise Value/EBITDA,12.38,IDX.AX
