Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,BPM.AX
effectOfAccountingCharges,,BPM.AX
incomeBeforeTax,-640908,BPM.AX
minorityInterest,,BPM.AX
netIncome,-640908,BPM.AX
sellingGeneralAdministrative,383440,BPM.AX
grossProfit,0,BPM.AX
ebit,-599485,BPM.AX
operatingIncome,-599485,BPM.AX
otherOperatingExpenses,137684,BPM.AX
interestExpense,-240,BPM.AX
extraordinaryItems,,BPM.AX
nonRecurring,,BPM.AX
otherItems,,BPM.AX
incomeTaxExpense,0,BPM.AX
totalRevenue,0,BPM.AX
totalOperatingExpenses,599485,BPM.AX
costOfRevenue,0,BPM.AX
totalOtherIncomeExpenseNet,-41423,BPM.AX
discontinuedOperations,,BPM.AX
netIncomeFromContinuingOps,-640908,BPM.AX
netIncomeApplicableToCommonShares,-640908,BPM.AX
