Breakdown,2021-06-30 00:00:00,ticker
totalLiab,1087644,BPM.AX
totalStockholderEquity,6179322,BPM.AX
otherCurrentLiab,420000,BPM.AX
totalAssets,7266966,BPM.AX
commonStock,7132250,BPM.AX
otherCurrentAssets,250000,BPM.AX
retainedEarnings,-534090,BPM.AX
treasuryStock,-418838,BPM.AX
otherAssets,125000,BPM.AX
cash,5430587,BPM.AX
totalCurrentLiabilities,1087644,BPM.AX
otherStockholderEquity,-418838,BPM.AX
propertyPlantEquipment,1379972,BPM.AX
totalCurrentAssets,5761994,BPM.AX
netTangibleAssets,6179322,BPM.AX
netReceivables,81407,BPM.AX
accountsPayable,667644,BPM.AX
