Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,PNT.AX
effectOfAccountingCharges,,,,PNT.AX
incomeBeforeTax,-71710,-33278,-6391,PNT.AX
minorityInterest,,,,PNT.AX
netIncome,-71710,-33278,-6391,PNT.AX
sellingGeneralAdministrative,64633,10288,6482,PNT.AX
grossProfit,0,0,0,PNT.AX
ebit,-64633,-10288,-6482,PNT.AX
operatingIncome,-64633,-10288,-6482,PNT.AX
otherOperatingExpenses,,,,PNT.AX
interestExpense,,,,PNT.AX
extraordinaryItems,,,,PNT.AX
nonRecurring,,,,PNT.AX
otherItems,,,,PNT.AX
incomeTaxExpense,0,0,0,PNT.AX
totalRevenue,0,0,0,PNT.AX
totalOperatingExpenses,64633,10288,6482,PNT.AX
costOfRevenue,0,0,0,PNT.AX
totalOtherIncomeExpenseNet,-7077,-22990,91,PNT.AX
discontinuedOperations,,,,PNT.AX
netIncomeFromContinuingOps,-71710,-33278,-6391,PNT.AX
netIncomeApplicableToCommonShares,-71710,-33278,-6391,PNT.AX
