Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,85585380.0,43904513.0,74171789.0,TGF.AX
totalStockholderEquity,156347186.0,104703855.0,151540969.0,TGF.AX
otherCurrentLiab,12537229.0,3715222.0,16209404.0,TGF.AX
totalAssets,241932566.0,148608368.0,225712758.0,TGF.AX
commonStock,152434979.0,153019422.0,157500000.0,TGF.AX
otherCurrentAssets,2683842.0,332034.0,163504.0,TGF.AX
retainedEarnings,3912207.0,-48315567.0,-2649851.0,TGF.AX
otherAssets,190281.0,22516937.0,3582726.0,TGF.AX
cash,51788936.0,34159749.0,122791456.0,TGF.AX
totalCurrentLiabilities,85585380.0,43904513.0,74171789.0,TGF.AX
deferredLongTermAssetCharges,190281.0,22300359.0,2260322.0,TGF.AX
totalCurrentAssets,241742285.0,126091431.0,222130032.0,TGF.AX
netTangibleAssets,156347186.0,104703855.0,151540969.0,TGF.AX
netReceivables,1315302.0,954833.0,3037305.0,TGF.AX
accountsPayable,16876.0,20898.0,37807.0,TGF.AX
treasuryStock,,,-3309180.0,TGF.AX
otherStockholderEquity,,,-3309180.0,TGF.AX
