,0,1,ticker
0,Market Cap (intraday),40.99M,GME.AX
1,Enterprise Value,40.24M,GME.AX
2,Trailing P/E,,GME.AX
3,Forward P/E,,GME.AX
4,PEG Ratio (5 yr expected),,GME.AX
5,Price/Sales (ttm),,GME.AX
6,Price/Book (mrq),1.22,GME.AX
7,Enterprise Value/Revenue,,GME.AX
8,Enterprise Value/EBITDA,-376.10,GME.AX
