Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,346247,32919,M2R.AX
totalCashflowsFromInvestingActivities,-1951888,-1951888,M2R.AX
netBorrowings,-22732,-22732,M2R.AX
totalCashFromFinancingActivities,7337133,447927,M2R.AX
issuanceOfStock,8010000,447927,M2R.AX
netIncome,-1019910,-206745,M2R.AX
changeInCash,4727617,357568,M2R.AX
totalCashFromOperatingActivities,-657628,-90359,M2R.AX
depreciation,272417,272417,M2R.AX
changeToAccountReceivables,-124344,-3238,M2R.AX
otherCashflowsFromFinancingActivities,-650135,-650135,M2R.AX
changeToNetincome,-132038,86704,M2R.AX
capitalExpenditures,-2001888,-2001888,M2R.AX
