Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
totalLiab,707302.0,31315.0,M2R.AX
totalStockholderEquity,7812145.0,299424.0,M2R.AX
otherCurrentLiab,313293.0,,M2R.AX
totalAssets,8519447.0,330739.0,M2R.AX
commonStock,8268845.0,409461.0,M2R.AX
retainedEarnings,-1209426.0,-189516.0,M2R.AX
treasuryStock,752726.0,79479.0,M2R.AX
cash,5055388.0,327771.0,M2R.AX
totalCurrentLiabilities,695134.0,31315.0,M2R.AX
otherStockholderEquity,752726.0,79479.0,M2R.AX
propertyPlantEquipment,3250305.0,,M2R.AX
totalCurrentAssets,5213142.0,330739.0,M2R.AX
longTermInvestments,56000.0,,M2R.AX
netTangibleAssets,7812145.0,299424.0,M2R.AX
netReceivables,71313.0,2968.0,M2R.AX
accountsPayable,185069.0,5815.0,M2R.AX
