Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,M2R.AX
effectOfAccountingCharges,,,M2R.AX
incomeBeforeTax,-1019910,-206745,M2R.AX
minorityInterest,,,M2R.AX
netIncome,-1019910,-206745,M2R.AX
sellingGeneralAdministrative,580391,135685,M2R.AX
grossProfit,150000,0,M2R.AX
ebit,-1006429,-206745,M2R.AX
operatingIncome,-1006429,-206745,M2R.AX
otherOperatingExpenses,211705,415,M2R.AX
interestExpense,-1638,-1638,M2R.AX
extraordinaryItems,,,M2R.AX
nonRecurring,,,M2R.AX
otherItems,,,M2R.AX
incomeTaxExpense,0,0,M2R.AX
totalRevenue,150000,0,M2R.AX
totalOperatingExpenses,1156429,206745,M2R.AX
costOfRevenue,0,0,M2R.AX
totalOtherIncomeExpenseNet,-13481,0,M2R.AX
discontinuedOperations,,,M2R.AX
netIncomeFromContinuingOps,-1019910,-206745,M2R.AX
netIncomeApplicableToCommonShares,-1019910,-206745,M2R.AX
