Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
changeToLiabilities,-471521.0,543674.0,-71993.0,AKO.AX
totalCashflowsFromInvestingActivities,-788332.0,-466871.0,-75605.0,AKO.AX
totalCashFromFinancingActivities,4779204.0,2782572.0,8700.0,AKO.AX
issuanceOfStock,5131700.0,2732349.0,8700.0,AKO.AX
netIncome,-1456540.0,-945983.0,-350788.0,AKO.AX
changeInCash,2678093.0,2008281.0,-316754.0,AKO.AX
effectOfExchangeRate,-134662.0,-48519.0,-48519.0,AKO.AX
totalCashFromOperatingActivities,-1178117.0,-258901.0,-249849.0,AKO.AX
depreciation,4800.0,4800.0,4800.0,AKO.AX
changeToAccountReceivables,-17106.0,-8680.0,-1812.0,AKO.AX
otherCashflowsFromFinancingActivities,-352496.0,-49777.0,-49777.0,AKO.AX
changeToNetincome,762250.0,152052.0,152116.0,AKO.AX
capitalExpenditures,-788332.0,-213393.0,-81622.0,AKO.AX
netBorrowings,,100000.0,100000.0,AKO.AX
changeToOperatingActivities,,36.0,22628.0,AKO.AX
