Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
researchDevelopment,,,,AKO.AX
effectOfAccountingCharges,,,,AKO.AX
incomeBeforeTax,-1456540,-914053,-334222,AKO.AX
minorityInterest,,134818.0,89817.0,AKO.AX
netIncome,-1456540,-945983,-350788,AKO.AX
sellingGeneralAdministrative,852964,988241,198250,AKO.AX
grossProfit,31,202,6514,AKO.AX
ebit,-859643,-994420,-195387,AKO.AX
operatingIncome,-859643,-994420,-195387,AKO.AX
otherOperatingExpenses,1910,6381,3651,AKO.AX
interestExpense,,-20000.0,-20000.0,AKO.AX
extraordinaryItems,,,,AKO.AX
nonRecurring,,,,AKO.AX
otherItems,,,,AKO.AX
incomeTaxExpense,0,0,0,AKO.AX
totalRevenue,31,202,6514,AKO.AX
totalOperatingExpenses,859674,994622,201901,AKO.AX
costOfRevenue,0,0,0,AKO.AX
totalOtherIncomeExpenseNet,-596897,80367,-138835,AKO.AX
discontinuedOperations,,,,AKO.AX
netIncomeFromContinuingOps,-1456540,-914053,-334222,AKO.AX
netIncomeApplicableToCommonShares,-1456540,-945983,-350788,AKO.AX
