Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,12889000,1594000,IPG.AX
totalCashflowsFromInvestingActivities,-3477000,-1712000,IPG.AX
netBorrowings,-2997000,-1371000,IPG.AX
totalCashFromFinancingActivities,-5898000,-2778000,IPG.AX
changeToOperatingActivities,3879000,2497000,IPG.AX
netIncome,6508000,3975000,IPG.AX
changeInCash,916000,5654000,IPG.AX
totalCashFromOperatingActivities,10291000,10144000,IPG.AX
depreciation,3984000,3310000,IPG.AX
dividendsPaid,-2901000,-1407000,IPG.AX
changeToInventory,-7575000,-299000,IPG.AX
changeToAccountReceivables,-10131000,-2435000,IPG.AX
changeToNetincome,810000,-22000,IPG.AX
capitalExpenditures,-668000,-605000,IPG.AX
