Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,304763.0,132379.0,63415.0,A8G.AX
totalStockholderEquity,5850498.0,93817.0,157855.0,A8G.AX
totalAssets,6155261.0,226196.0,221270.0,A8G.AX
commonStock,7242489.0,600001.0,600001.0,A8G.AX
otherCurrentAssets,37.0,233.0,164.0,A8G.AX
retainedEarnings,-1467687.0,-500738.0,-436700.0,A8G.AX
treasuryStock,75696.0,-5446.0,-5446.0,A8G.AX
cash,5243265.0,172529.0,204894.0,A8G.AX
totalCurrentLiabilities,304763.0,120464.0,63415.0,A8G.AX
otherStockholderEquity,75696.0,-5446.0,-5446.0,A8G.AX
propertyPlantEquipment,818075.0,35444.0,,A8G.AX
totalCurrentAssets,5337186.0,190752.0,221270.0,A8G.AX
netTangibleAssets,5850498.0,93817.0,157855.0,A8G.AX
netReceivables,51699.0,15448.0,14219.0,A8G.AX
accountsPayable,20559.0,6320.0,15865.0,A8G.AX
