Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,-2329,8359,54356,A8G.AX
totalCashflowsFromInvestingActivities,-181801,-181801,-181801,A8G.AX
netBorrowings,-22460,-3000,-3000,A8G.AX
totalCashFromFinancingActivities,5581755,-3000,509619,A8G.AX
changeToOperatingActivities,-39643,-549,-1708,A8G.AX
issuanceOfStock,5812988,5812988,514287,A8G.AX
netIncome,-966949,-64038,-374314,A8G.AX
changeInCash,5070736,-32365,175623,A8G.AX
totalCashFromOperatingActivities,-329218,-29365,-333995,A8G.AX
depreciation,12276,25020,25020,A8G.AX
changeToAccountReceivables,-15636,-1298,-12328,A8G.AX
otherCashflowsFromFinancingActivities,-208773,-208773,-4668,A8G.AX
changeToNetincome,683063,3141,47039,A8G.AX
capitalExpenditures,-181801,-181801,-181801,A8G.AX
