Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,337162,-111653,515631,BIO.AX
totalCashflowsFromInvestingActivities,-28765,-179893,-520000,BIO.AX
netBorrowings,-7412,462250,42283,BIO.AX
totalCashFromFinancingActivities,2583010,3369313,3084905,BIO.AX
changeToOperatingActivities,145877,22291,-59813,BIO.AX
issuanceOfStock,2636292,3080285,3090214,BIO.AX
netIncome,-5381116,-3162163,-2011987,BIO.AX
changeInCash,161111,-31434,480301,BIO.AX
totalCashFromOperatingActivities,-2393134,-3220854,-2084604,BIO.AX
depreciation,73961,17703,17703,BIO.AX
changeToInventory,-221970,-715055,-451972,BIO.AX
changeToAccountReceivables,-461221,-26529,-250464,BIO.AX
otherCashflowsFromFinancingActivities,-45870,-173222,-47592,BIO.AX
changeToNetincome,3114173,754552,174001,BIO.AX
capitalExpenditures,-67765,-172865,-172865,BIO.AX
