Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,919795.0,997105.0,610836.0,BIO.AX
totalStockholderEquity,1580128.0,949536.0,1204636.0,BIO.AX
otherCurrentLiab,50714.0,116758.0,140760.0,BIO.AX
totalAssets,2499923.0,1946641.0,1815472.0,BIO.AX
commonStock,9830488.0,5877185.0,2972622.0,BIO.AX
otherCurrentAssets,24634.0,24634.0,,BIO.AX
retainedEarnings,-9893535.0,-5052349.0,-2011986.0,BIO.AX
treasuryStock,1643175.0,124700.0,244000.0,BIO.AX
cash,609978.0,448867.0,480301.0,BIO.AX
totalCurrentLiabilities,855113.0,508922.0,568553.0,BIO.AX
shortLongTermDebt,15735.0,16350.0,,BIO.AX
otherStockholderEquity,1643175.0,124700.0,244000.0,BIO.AX
propertyPlantEquipment,105593.0,155471.0,,BIO.AX
totalCurrentAssets,2394330.0,1784451.0,1295472.0,BIO.AX
netTangibleAssets,1580128.0,942817.0,684636.0,BIO.AX
netReceivables,738823.0,350172.0,320949.0,BIO.AX
longTermDebt,64682.0,488183.0,42283.0,BIO.AX
inventory,1020895.0,932475.0,451972.0,BIO.AX
accountsPayable,619289.0,264820.0,306145.0,BIO.AX
intangibleAssets,,6719.0,520000.0,BIO.AX
shortTermInvestments,,,42250.0,BIO.AX
