Breakdown,Value,ticker
zip,6005,EGR.AX
sector,Basic Materials,EGR.AX
longBusinessSummary,"EcoGraf Limited, together with its subsidiaries, engages in the exploration and evaluation of graphite properties in Tanzania. The company's flagship project is the Epanko graphite project located in Tanzania. It is also involved in the battery recycling business. The company was formerly known as Kibaran Resources Limited and changed its name to EcoGraf Limited in December 2019. EcoGraf Limited was incorporated in 2005 and is headquartered in West Perth, Australia.",EGR.AX
city,West Perth,EGR.AX
phone,61 8 6424 9000,EGR.AX
state,WA,EGR.AX
compensationAsOfEpochDate,1640908800,EGR.AX
country,Australia,EGR.AX
website,https://www.ecograf.com.au,EGR.AX
maxAge,86400,EGR.AX
address1,18 Richardson Street,EGR.AX
industry,Other Industrial Metals & Mining,EGR.AX
