Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
totalLiab,683951,269395,GRL.AX
totalStockholderEquity,15601823,13325967,GRL.AX
otherCurrentLiab,110990,67345,GRL.AX
totalAssets,16285774,13595362,GRL.AX
commonStock,16132958,12816766,GRL.AX
otherCurrentAssets,17714,17550,GRL.AX
retainedEarnings,-2214148,-801362,GRL.AX
otherLiab,138978,56000,GRL.AX
treasuryStock,1683013,1310563,GRL.AX
cash,4729025,4861593,GRL.AX
totalCurrentLiabilities,254307,213395,GRL.AX
otherStockholderEquity,1683013,1310563,GRL.AX
propertyPlantEquipment,11438816,8650888,GRL.AX
totalCurrentAssets,4846958,4944474,GRL.AX
netTangibleAssets,15601823,13325967,GRL.AX
netReceivables,58554,51755,GRL.AX
accountsPayable,30241,54649,GRL.AX
