Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,GRL.AX
effectOfAccountingCharges,,,GRL.AX
incomeBeforeTax,-1412786,-801362,GRL.AX
minorityInterest,,,GRL.AX
netIncome,-1412786,-801362,GRL.AX
sellingGeneralAdministrative,1318656,663856,GRL.AX
grossProfit,-48785,-56000,GRL.AX
ebit,-1521100,-834957,GRL.AX
operatingIncome,-1521100,-834957,GRL.AX
otherOperatingExpenses,,,GRL.AX
interestExpense,-11003,-11003,GRL.AX
extraordinaryItems,,,GRL.AX
nonRecurring,,,GRL.AX
otherItems,,,GRL.AX
incomeTaxExpense,0,0,GRL.AX
totalRevenue,34193,0,GRL.AX
totalOperatingExpenses,1555293,834957,GRL.AX
costOfRevenue,82978,56000,GRL.AX
totalOtherIncomeExpenseNet,108314,33595,GRL.AX
discontinuedOperations,,,GRL.AX
netIncomeFromContinuingOps,-1412786,-801362,GRL.AX
netIncomeApplicableToCommonShares,-1412786,-801362,GRL.AX
