Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,267519.0,2505.0,822.0,LKY.AX
totalStockholderEquity,4286022.0,-2504.0,-821.0,LKY.AX
totalAssets,4553541.0,1.0,1.0,LKY.AX
commonStock,602301.0,1.0,1.0,LKY.AX
retainedEarnings,-534779.0,-2505.0,-822.0,LKY.AX
treasuryStock,4218500.0,,,LKY.AX
cash,4288939.0,1.0,1.0,LKY.AX
totalCurrentLiabilities,190678.0,2505.0,822.0,LKY.AX
otherStockholderEquity,4218500.0,,,LKY.AX
propertyPlantEquipment,173386.0,,,LKY.AX
totalCurrentAssets,4380155.0,1.0,1.0,LKY.AX
netTangibleAssets,4286022.0,-2504.0,-821.0,LKY.AX
netReceivables,69813.0,,,LKY.AX
accountsPayable,118897.0,,,LKY.AX
