Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,142548,1683,0,LKY.AX
totalCashflowsFromInvestingActivities,-47977,-47977,-47977,LKY.AX
netBorrowings,-19242,-19242,-19242,LKY.AX
totalCashFromFinancingActivities,4800858,4800858,2,LKY.AX
changeToOperatingActivities,-21403,-21403,-21403,LKY.AX
issuanceOfStock,4858500,4858500,2,LKY.AX
netIncome,-532274,-1683,-1233,LKY.AX
changeInCash,4288938,4288938,2,LKY.AX
totalCashFromOperatingActivities,-463943,-463943,-463943,LKY.AX
depreciation,16999,16999,16999,LKY.AX
changeToAccountReceivables,-69813,-69813,-69813,LKY.AX
otherCashflowsFromFinancingActivities,-38400,-38400,-38400,LKY.AX
capitalExpenditures,-47977,-47977,-47977,LKY.AX
