Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,SMS.AX
effectOfAccountingCharges,,SMS.AX
incomeBeforeTax,-45333,SMS.AX
minorityInterest,,SMS.AX
netIncome,-45333,SMS.AX
sellingGeneralAdministrative,25497,SMS.AX
grossProfit,0,SMS.AX
ebit,-32232,SMS.AX
operatingIncome,-32232,SMS.AX
otherOperatingExpenses,6735,SMS.AX
interestExpense,,SMS.AX
extraordinaryItems,,SMS.AX
nonRecurring,,SMS.AX
otherItems,,SMS.AX
incomeTaxExpense,0,SMS.AX
totalRevenue,0,SMS.AX
totalOperatingExpenses,32232,SMS.AX
costOfRevenue,0,SMS.AX
totalOtherIncomeExpenseNet,-13101,SMS.AX
discontinuedOperations,,SMS.AX
netIncomeFromContinuingOps,-45333,SMS.AX
netIncomeApplicableToCommonShares,-45333,SMS.AX
