Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
intangibleAssets,150000.0,,,NGS.AX
totalLiab,894000.0,237000.0,394000.0,NGS.AX
totalStockholderEquity,4322000.0,613000.0,2319000.0,NGS.AX
otherCurrentLiab,198000.0,45000.0,42000.0,NGS.AX
totalAssets,5216000.0,850000.0,2713000.0,NGS.AX
commonStock,7781000.0,2000.0,2000.0,NGS.AX
retainedEarnings,-4194000.0,167000.0,2198000.0,NGS.AX
treasuryStock,735000.0,444000.0,119000.0,NGS.AX
cash,4630000.0,580000.0,2397000.0,NGS.AX
totalCurrentLiabilities,765000.0,237000.0,341000.0,NGS.AX
otherStockholderEquity,735000.0,444000.0,119000.0,NGS.AX
propertyPlantEquipment,13000.0,18000.0,12000.0,NGS.AX
totalCurrentAssets,5053000.0,832000.0,2701000.0,NGS.AX
netTangibleAssets,4172000.0,613000.0,2319000.0,NGS.AX
shortTermInvestments,4000.0,8000.0,7000.0,NGS.AX
netReceivables,119000.0,58000.0,213000.0,NGS.AX
longTermDebt,129000.0,,,NGS.AX
inventory,145000.0,136000.0,72000.0,NGS.AX
accountsPayable,186000.0,35000.0,214000.0,NGS.AX
otherLiab,,,53000.0,NGS.AX
