Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,ticker
totalLiab,371551.0,250402.0,628000.0,IMI.AX
totalStockholderEquity,-276358.0,-173404.0,-142000.0,IMI.AX
otherCurrentLiab,139.0,15548.0,,IMI.AX
totalAssets,95193.0,76998.0,486000.0,IMI.AX
commonStock,493227.0,493227.0,493000.0,IMI.AX
retainedEarnings,-769585.0,-666631.0,-635000.0,IMI.AX
cash,6616.0,6270.0,8000.0,IMI.AX
totalCurrentLiabilities,66609.0,17640.0,12000.0,IMI.AX
propertyPlantEquipment,81618.0,70434.0,469000.0,IMI.AX
totalCurrentAssets,13575.0,6564.0,17000.0,IMI.AX
netTangibleAssets,-276358.0,-173404.0,-142000.0,IMI.AX
netReceivables,6959.0,294.0,9000.0,IMI.AX
longTermDebt,304942.0,232762.0,616000.0,IMI.AX
accountsPayable,66470.0,2092.0,12000.0,IMI.AX
