Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,MMC.AX
effectOfAccountingCharges,,MMC.AX
incomeBeforeTax,-147803,MMC.AX
minorityInterest,,MMC.AX
netIncome,-147803,MMC.AX
sellingGeneralAdministrative,49113,MMC.AX
grossProfit,0,MMC.AX
ebit,-146153,MMC.AX
operatingIncome,-146153,MMC.AX
otherOperatingExpenses,93567,MMC.AX
interestExpense,,MMC.AX
extraordinaryItems,,MMC.AX
nonRecurring,,MMC.AX
otherItems,,MMC.AX
incomeTaxExpense,0,MMC.AX
totalRevenue,0,MMC.AX
totalOperatingExpenses,146153,MMC.AX
costOfRevenue,0,MMC.AX
totalOtherIncomeExpenseNet,-1650,MMC.AX
discontinuedOperations,,MMC.AX
netIncomeFromContinuingOps,-147803,MMC.AX
netIncomeApplicableToCommonShares,-147803,MMC.AX
