Breakdown,2021-06-30 00:00:00,ticker
totalLiab,383346,M24.AX
totalStockholderEquity,9639728,M24.AX
deferredLongTermLiab,1559,M24.AX
otherCurrentLiab,13589,M24.AX
totalAssets,10023074,M24.AX
commonStock,10930300,M24.AX
otherCurrentAssets,30000,M24.AX
retainedEarnings,-860252,M24.AX
treasuryStock,-430320,M24.AX
otherAssets,1559,M24.AX
cash,5684338,M24.AX
totalCurrentLiabilities,328127,M24.AX
otherStockholderEquity,-430320,M24.AX
propertyPlantEquipment,4257483,M24.AX
totalCurrentAssets,5764032,M24.AX
netTangibleAssets,9639728,M24.AX
netReceivables,30890,M24.AX
accountsPayable,263859,M24.AX
