Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,M24.AX
effectOfAccountingCharges,,M24.AX
incomeBeforeTax,-1147002,M24.AX
minorityInterest,,M24.AX
netIncome,-1147002,M24.AX
sellingGeneralAdministrative,1127012,M24.AX
grossProfit,0,M24.AX
ebit,-1156122,M24.AX
operatingIncome,-1156122,M24.AX
otherOperatingExpenses,,M24.AX
interestExpense,,M24.AX
extraordinaryItems,,M24.AX
nonRecurring,,M24.AX
otherItems,,M24.AX
incomeTaxExpense,0,M24.AX
totalRevenue,0,M24.AX
totalOperatingExpenses,1156122,M24.AX
costOfRevenue,0,M24.AX
totalOtherIncomeExpenseNet,9120,M24.AX
discontinuedOperations,,M24.AX
netIncomeFromContinuingOps,-1147002,M24.AX
netIncomeApplicableToCommonShares,-1147002,M24.AX
