Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
intangibleAssets,2447102,738837,782402,PFT.AX
totalLiab,5123853,1899326,706056,PFT.AX
totalStockholderEquity,7854213,6039743,2864175,PFT.AX
totalAssets,12978066,7939069,3570231,PFT.AX
commonStock,9402889,6872110,3535898,PFT.AX
otherCurrentAssets,339833,147244,63324,PFT.AX
retainedEarnings,-1548676,-832367,-671723,PFT.AX
otherLiab,871604,243691,15085,PFT.AX
otherAssets,1239971,380300,173920,PFT.AX
cash,1624116,4134867,1388806,PFT.AX
totalCurrentLiabilities,2850230,880255,543068,PFT.AX
deferredLongTermAssetCharges,1239971,380300,173920,PFT.AX
shortLongTermDebt,724920,164165,47496,PFT.AX
propertyPlantEquipment,5227485,1741927,556436,PFT.AX
totalCurrentAssets,4063508,5078005,2057473,PFT.AX
netTangibleAssets,5407111,5300906,2081773,PFT.AX
netReceivables,1098324,482929,424208,PFT.AX
longTermDebt,872303,419156,147903,PFT.AX
inventory,1001235,312965,181135,PFT.AX
accountsPayable,1769479,541251,397792,PFT.AX
