Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,169694,37300,30785,PFT.AX
effectOfAccountingCharges,,,,PFT.AX
incomeBeforeTax,-942618,-196480,-322158,PFT.AX
minorityInterest,,,,PFT.AX
netIncome,-716309,-203404,-157875,PFT.AX
sellingGeneralAdministrative,2124800,1065632,979593,PFT.AX
grossProfit,1606045,1221380,1278979,PFT.AX
ebit,-821724,25698,54241,PFT.AX
operatingIncome,-821724,25698,54241,PFT.AX
otherOperatingExpenses,-272469,-130466,116346,PFT.AX
interestExpense,-85662,-46644,-42988,PFT.AX
extraordinaryItems,,,,PFT.AX
nonRecurring,,,,PFT.AX
otherItems,,,,PFT.AX
incomeTaxExpense,-226309,6924,-164283,PFT.AX
totalRevenue,7341482,4279764,3789405,PFT.AX
totalOperatingExpenses,8163206,4254066,3735164,PFT.AX
costOfRevenue,5735437,3058384,2510426,PFT.AX
totalOtherIncomeExpenseNet,-120894,-222178,-376399,PFT.AX
discontinuedOperations,,,,PFT.AX
netIncomeFromContinuingOps,-716309,-203404,-157875,PFT.AX
netIncomeApplicableToCommonShares,-716309,-203404,-157875,PFT.AX
