Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
researchDevelopment,,,,HFY.AX
effectOfAccountingCharges,,,,HFY.AX
incomeBeforeTax,1245631,999239,926449,HFY.AX
minorityInterest,,,,HFY.AX
netIncome,918913,2626165,528943,HFY.AX
sellingGeneralAdministrative,11229557,8821183,7849723,HFY.AX
grossProfit,13457365,10551245,8705487,HFY.AX
ebit,1256472,1022734,824510,HFY.AX
operatingIncome,1256472,1022734,824510,HFY.AX
otherOperatingExpenses,971336,707328,31254,HFY.AX
interestExpense,-19293,-48785,-235,HFY.AX
extraordinaryItems,,,,HFY.AX
nonRecurring,,,,HFY.AX
otherItems,,,,HFY.AX
incomeTaxExpense,326718,-1626926,397506,HFY.AX
totalRevenue,18759777,16256779,12539045,HFY.AX
totalOperatingExpenses,17503305,15234045,11714535,HFY.AX
costOfRevenue,5302412,5705534,3833558,HFY.AX
totalOtherIncomeExpenseNet,-10841,-23495,101939,HFY.AX
discontinuedOperations,,,,HFY.AX
netIncomeFromContinuingOps,918913,2626165,528943,HFY.AX
netIncomeApplicableToCommonShares,918913,2626165,528943,HFY.AX
