Breakdown,2021-06-30 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,ticker
changeToLiabilities,16084000,0,0,DRR.AX
totalCashflowsFromInvestingActivities,-24450000,-24450000,-24450000,DRR.AX
netBorrowings,-52000,-52000,-52000,DRR.AX
totalCashFromFinancingActivities,-33513000,-33513000,-33513000,DRR.AX
changeToOperatingActivities,-605000,-605000,-605000,DRR.AX
netIncome,94260000,54500000,33800000,DRR.AX
changeInCash,24206000,24206000,24206000,DRR.AX
totalCashFromOperatingActivities,82169000,82169000,82169000,DRR.AX
depreciation,365000,365000,365000,DRR.AX
dividendsPaid,-33341000,-33341000,-33341000,DRR.AX
changeToAccountReceivables,-33236000,-33236000,-33236000,DRR.AX
otherCashflowsFromFinancingActivities,-120000,-120000,-120000,DRR.AX
changeToNetincome,-5603000,-5603000,-5603000,DRR.AX
capitalExpenditures,-24450000,-24450000,-24450000,DRR.AX
