Breakdown,2021-06-30 00:00:00,ticker
totalLiab,540209,EMS.AX
totalStockholderEquity,-29058,EMS.AX
otherCurrentLiab,424154,EMS.AX
totalAssets,511151,EMS.AX
commonStock,3,EMS.AX
retainedEarnings,-445453,EMS.AX
treasuryStock,416392,EMS.AX
otherAssets,40000,EMS.AX
cash,380602,EMS.AX
totalCurrentLiabilities,540209,EMS.AX
otherStockholderEquity,416392,EMS.AX
propertyPlantEquipment,86393,EMS.AX
totalCurrentAssets,384758,EMS.AX
netTangibleAssets,-29058,EMS.AX
netReceivables,4156,EMS.AX
