Breakdown,2020-12-31 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,AWJ.AX
effectOfAccountingCharges,,,AWJ.AX
incomeBeforeTax,-530026,-106656,AWJ.AX
minorityInterest,,,AWJ.AX
netIncome,-530026,-106656,AWJ.AX
sellingGeneralAdministrative,505406,106416,AWJ.AX
grossProfit,0,0,AWJ.AX
ebit,-530026,-106416,AWJ.AX
operatingIncome,-530026,-106416,AWJ.AX
otherOperatingExpenses,24347,24347,AWJ.AX
interestExpense,,-240.0,AWJ.AX
extraordinaryItems,,,AWJ.AX
nonRecurring,,,AWJ.AX
otherItems,,,AWJ.AX
incomeTaxExpense,0,0,AWJ.AX
totalRevenue,0,0,AWJ.AX
totalOperatingExpenses,530026,106416,AWJ.AX
costOfRevenue,0,0,AWJ.AX
totalOtherIncomeExpenseNet,0,-240,AWJ.AX
discontinuedOperations,,,AWJ.AX
netIncomeFromContinuingOps,-530026,-106656,AWJ.AX
netIncomeApplicableToCommonShares,-530026,-106656,AWJ.AX
