Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,MP1.AX
effectOfAccountingCharges,,,,,MP1.AX
incomeBeforeTax,-61645000,-49194000,-33555000,-25326000,MP1.AX
minorityInterest,,,,,MP1.AX
netIncome,-55000000,-48711000,-33564000,-24463000,MP1.AX
sellingGeneralAdministrative,59799000,54226000,37767000,25031000,MP1.AX
grossProfit,42068000,29518000,11948000,4489000,MP1.AX
ebit,-46979000,-45263000,-38720000,-28041000,MP1.AX
operatingIncome,-46979000,-45263000,-38720000,-28041000,MP1.AX
otherOperatingExpenses,5784000,3266000,3850000,2563000,MP1.AX
interestExpense,-1110000,-1002000,-20000,-137000,MP1.AX
extraordinaryItems,,,,,MP1.AX
nonRecurring,,,,,MP1.AX
otherItems,,,,,MP1.AX
incomeTaxExpense,-6645000,-483000,9000,-863000,MP1.AX
totalRevenue,78281000,58040000,35065000,19753000,MP1.AX
totalOperatingExpenses,125260000,103303000,73785000,47794000,MP1.AX
costOfRevenue,36213000,28522000,23117000,15264000,MP1.AX
totalOtherIncomeExpenseNet,-14666000,-3931000,5165000,2715000,MP1.AX
discontinuedOperations,,,,,MP1.AX
netIncomeFromContinuingOps,-55000000,-48711000,-33564000,-24463000,MP1.AX
netIncomeApplicableToCommonShares,-55000000,-48711000,-33564000,-24463000,MP1.AX
