Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,943777,69940,KAU.AX
totalCashflowsFromInvestingActivities,-11626208,-188410,KAU.AX
netBorrowings,16511890,-8701,KAU.AX
totalCashFromFinancingActivities,20342326,5368633,KAU.AX
changeToOperatingActivities,1614416,-4366,KAU.AX
issuanceOfStock,4383936,5916079,KAU.AX
netIncome,-13426817,-382799,KAU.AX
changeInCash,5744735,4833324,KAU.AX
totalCashFromOperatingActivities,-2971382,-346900,KAU.AX
depreciation,933878,9763,KAU.AX
changeToInventory,-1405762,-1405762,KAU.AX
changeToAccountReceivables,-969215,-39438,KAU.AX
otherCashflowsFromFinancingActivities,-553500,-538745,KAU.AX
changeToNetincome,9338339,9338339,KAU.AX
capitalExpenditures,-3393894,-158975,KAU.AX
