Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,KAU.AX
effectOfAccountingCharges,,,KAU.AX
incomeBeforeTax,-13426817,-382799,KAU.AX
minorityInterest,,,KAU.AX
netIncome,-13426817,-382799,KAU.AX
sellingGeneralAdministrative,932539,369757,KAU.AX
grossProfit,-1803676,-2280,KAU.AX
ebit,-3990899,-381800,KAU.AX
operatingIncome,-3990899,-381800,KAU.AX
otherOperatingExpenses,-4252,-4252,KAU.AX
interestExpense,-18377,-998,KAU.AX
extraordinaryItems,,,KAU.AX
nonRecurring,,,KAU.AX
otherItems,,,KAU.AX
incomeTaxExpense,0,0,KAU.AX
totalRevenue,6102475,0,KAU.AX
totalOperatingExpenses,10093374,381800,KAU.AX
costOfRevenue,7906151,2280,KAU.AX
totalOtherIncomeExpenseNet,-9435918,-998,KAU.AX
discontinuedOperations,,,KAU.AX
netIncomeFromContinuingOps,-13426817,-382799,KAU.AX
netIncomeApplicableToCommonShares,-13426817,-382799,KAU.AX
