Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,ticker
totalLiab,11697054.0,,GQG.AX
totalStockholderEquity,62439054.0,,GQG.AX
otherCurrentLiab,510360.0,,GQG.AX
totalAssets,74136108.0,,GQG.AX
commonStock,62439054.0,,GQG.AX
otherCurrentAssets,1337812.0,,GQG.AX
otherAssets,443256.0,,GQG.AX
cash,17753125.0,,GQG.AX
totalCurrentLiabilities,11697054.0,,GQG.AX
propertyPlantEquipment,545559.0,,GQG.AX
totalCurrentAssets,69472664.0,,GQG.AX
longTermInvestments,3674629.0,,GQG.AX
netTangibleAssets,62439054.0,,GQG.AX
netReceivables,50381727.0,,GQG.AX
accountsPayable,6439107.0,,GQG.AX
