,0,1,ticker
0,Market Cap (intraday),,CWX.AX
1,Enterprise Value,,CWX.AX
2,Trailing P/E,,CWX.AX
3,Forward P/E,,CWX.AX
4,PEG Ratio (5 yr expected),,CWX.AX
5,Price/Sales (ttm),,CWX.AX
6,Price/Book (mrq),,CWX.AX
7,Enterprise Value/Revenue,,CWX.AX
8,Enterprise Value/EBITDA,,CWX.AX
