Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,SHG.AX
effectOfAccountingCharges,,,SHG.AX
incomeBeforeTax,-4456097,-849106,SHG.AX
minorityInterest,,,SHG.AX
netIncome,-4456097,-849106,SHG.AX
sellingGeneralAdministrative,2965659,893657,SHG.AX
grossProfit,266575,123028,SHG.AX
ebit,-2989823,-782677,SHG.AX
operatingIncome,-2989823,-782677,SHG.AX
otherOperatingExpenses,-43952,-22957,SHG.AX
interestExpense,-90853,-65862,SHG.AX
extraordinaryItems,,,SHG.AX
nonRecurring,,,SHG.AX
otherItems,,,SHG.AX
incomeTaxExpense,0,0,SHG.AX
totalRevenue,456343,127106,SHG.AX
totalOperatingExpenses,3446166,909784,SHG.AX
costOfRevenue,189768,4079,SHG.AX
totalOtherIncomeExpenseNet,-1466274,-66429,SHG.AX
discontinuedOperations,,,SHG.AX
netIncomeFromContinuingOps,-4456097,-849106,SHG.AX
netIncomeApplicableToCommonShares,-4456097,-849106,SHG.AX
