Breakdown,2021-06-30 00:00:00,ticker
changeToLiabilities,481702,OZM.AX
totalCashflowsFromInvestingActivities,-638747,OZM.AX
totalCashFromFinancingActivities,12081406,OZM.AX
changeToOperatingActivities,-35877,OZM.AX
issuanceOfStock,13005000,OZM.AX
netIncome,-4467264,OZM.AX
changeInCash,7567715,OZM.AX
totalCashFromOperatingActivities,-3874944,OZM.AX
depreciation,38535,OZM.AX
changeToAccountReceivables,-175965,OZM.AX
otherCashflowsFromFinancingActivities,-923594,OZM.AX
changeToNetincome,283925,OZM.AX
capitalExpenditures,-638747,OZM.AX
