Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,OZM.AX
effectOfAccountingCharges,,OZM.AX
incomeBeforeTax,-4467264,OZM.AX
minorityInterest,,OZM.AX
netIncome,-4467264,OZM.AX
sellingGeneralAdministrative,1112038,OZM.AX
grossProfit,0,OZM.AX
ebit,-4476993,OZM.AX
operatingIncome,-4476993,OZM.AX
otherOperatingExpenses,,OZM.AX
interestExpense,-921,OZM.AX
extraordinaryItems,,OZM.AX
nonRecurring,,OZM.AX
otherItems,,OZM.AX
incomeTaxExpense,0,OZM.AX
totalRevenue,0,OZM.AX
totalOperatingExpenses,4476993,OZM.AX
costOfRevenue,0,OZM.AX
totalOtherIncomeExpenseNet,9729,OZM.AX
discontinuedOperations,,OZM.AX
netIncomeFromContinuingOps,-4467264,OZM.AX
netIncomeApplicableToCommonShares,-4467264,OZM.AX
