Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
changeToLiabilities,69204,3745,PGO.AX
totalCashflowsFromInvestingActivities,-1138825,-189092,PGO.AX
totalCashFromFinancingActivities,6660838,207405,PGO.AX
issuanceOfStock,6798796,207405,PGO.AX
netIncome,-858471,-3745,PGO.AX
changeInCash,5359039,18213,PGO.AX
totalCashFromOperatingActivities,-162974,-100,PGO.AX
depreciation,451,451,PGO.AX
otherCashflowsFromInvestingActivities,-661909,-1000,PGO.AX
changeToAccountReceivables,-88967,-100,PGO.AX
otherCashflowsFromFinancingActivities,-137958,-137958,PGO.AX
changeToNetincome,714809,714809,PGO.AX
capitalExpenditures,-476916,-188092,PGO.AX
