Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
totalLiab,6419987.0,766327.0,PGO.AX
totalStockholderEquity,1888693.0,203660.0,PGO.AX
otherCurrentLiab,5113066.0,96795.0,PGO.AX
totalAssets,8308680.0,969987.0,PGO.AX
commonStock,2051859.0,1.0,PGO.AX
retainedEarnings,-862216.0,-3745.0,PGO.AX
otherLiab,669796.0,669037.0,PGO.AX
treasuryStock,699050.0,207404.0,PGO.AX
otherAssets,662909.0,1000.0,PGO.AX
cash,5377252.0,18213.0,PGO.AX
totalCurrentLiabilities,5750191.0,97290.0,PGO.AX
otherStockholderEquity,699050.0,207404.0,PGO.AX
propertyPlantEquipment,1538346.0,950674.0,PGO.AX
totalCurrentAssets,6107425.0,18313.0,PGO.AX
netTangibleAssets,1888693.0,203660.0,PGO.AX
netReceivables,74517.0,100.0,PGO.AX
accountsPayable,636630.0,,PGO.AX
