Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,PGO.AX
effectOfAccountingCharges,,,PGO.AX
incomeBeforeTax,-858471,-3745,PGO.AX
minorityInterest,,,PGO.AX
netIncome,-858471,-3745,PGO.AX
sellingGeneralAdministrative,144223,3745,PGO.AX
grossProfit,250,0,PGO.AX
ebit,-858474,-3745,PGO.AX
operatingIncome,-858474,-3745,PGO.AX
otherOperatingExpenses,,,PGO.AX
interestExpense,,,PGO.AX
extraordinaryItems,,,PGO.AX
nonRecurring,,,PGO.AX
otherItems,,,PGO.AX
incomeTaxExpense,0,0,PGO.AX
totalRevenue,250,0,PGO.AX
totalOperatingExpenses,858724,3745,PGO.AX
costOfRevenue,0,0,PGO.AX
totalOtherIncomeExpenseNet,3,0,PGO.AX
discontinuedOperations,,,PGO.AX
netIncomeFromContinuingOps,-858471,-3745,PGO.AX
netIncomeApplicableToCommonShares,-858471,-3745,PGO.AX
