Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,165425,117178,LV1.AX
effectOfAccountingCharges,,,LV1.AX
incomeBeforeTax,-3457400,-1318486,LV1.AX
minorityInterest,,,LV1.AX
netIncome,-3457400,-1318486,LV1.AX
sellingGeneralAdministrative,3462658,1202228,LV1.AX
grossProfit,314995,191732,LV1.AX
ebit,-3269355,-1207680,LV1.AX
operatingIncome,-3269355,-1207680,LV1.AX
otherOperatingExpenses,-50755,-50755,LV1.AX
interestExpense,-230416,-54711,LV1.AX
extraordinaryItems,,,LV1.AX
nonRecurring,,,LV1.AX
otherItems,,,LV1.AX
incomeTaxExpense,0,0,LV1.AX
totalRevenue,642386,398673,LV1.AX
totalOperatingExpenses,3911741,1606353,LV1.AX
costOfRevenue,327391,206941,LV1.AX
totalOtherIncomeExpenseNet,-188045,-110806,LV1.AX
discontinuedOperations,,,LV1.AX
netIncomeFromContinuingOps,-3457400,-1318486,LV1.AX
netIncomeApplicableToCommonShares,-3457400,-1318486,LV1.AX
