Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,BWF.AX
effectOfAccountingCharges,,,,,BWF.AX
incomeBeforeTax,3899000,5882000,4381000,10764000,BWF.AX
minorityInterest,,,,-148000.0,BWF.AX
netIncome,3029000,4536000,3189000,8062000,BWF.AX
sellingGeneralAdministrative,,,,146000.0,BWF.AX
grossProfit,3589000,5861000,5856000,18135000,BWF.AX
ebit,3420000,5681000,5782000,11937000,BWF.AX
operatingIncome,3420000,5681000,5782000,11937000,BWF.AX
otherOperatingExpenses,,,,5199000.0,BWF.AX
interestExpense,-25000,-24000,-24000,-131000,BWF.AX
extraordinaryItems,,,,,BWF.AX
nonRecurring,,,,,BWF.AX
otherItems,,,,,BWF.AX
incomeTaxExpense,845000,1590000,981000,2841000,BWF.AX
totalRevenue,7288000,10455000,10150000,25994000,BWF.AX
totalOperatingExpenses,3868000,4774000,4368000,14057000,BWF.AX
costOfRevenue,3699000,4594000,4294000,7859000,BWF.AX
totalOtherIncomeExpenseNet,479000,201000,-1401000,-1173000,BWF.AX
discontinuedOperations,-25000,244000,-277000,-277000,BWF.AX
netIncomeFromContinuingOps,3054000,4292000,3400000,7923000,BWF.AX
netIncomeApplicableToCommonShares,3029000,4536000,3189000,8062000,BWF.AX
